feature,importance
is_png,0.8422357626586113
is_jpeg,0.8422357438237477
exif_present,0.5728313600179161
info_key_count,0.508969244143698
band_count,0.3477624538658011
has_alpha,0.3477624538658011
orig_width,0.3410228009334941
aspect_ratio,0.3181685327856386
megapixels,0.2447572473243511
orig_height,0.24160336547209169
hist_g_0,0.17207038415290088
file_size_kb,0.12810856538926468
hist_g_6,0.09805150388199986
mean_g,0.09646152582577641
hist_r_4,0.09383240122959285
std_g,0.0878503653825384
hist_r_2,0.08703101659680648
edge_mean,0.08563710725732075
hist_r_0,0.07112225127962217
hist_r_6,0.06934258108806471
