feature,importance
info_key_count,0.34752728040980496
aspect_ratio,0.2978574318067932
file_size_kb,0.29349718911065537
megapixels,0.25723504450725754
band_count,0.2491243499973352
has_alpha,0.2491243441300095
exif_present,0.24864769421109306
file_size_log,0.23035003240765928
orig_height,0.22430840546331532
orig_width,0.22214409075993255
hist_b_0,0.16326622974442856
std_b,0.15361360793694903
hist_r_6,0.13956184738695604
hist_r_5,0.1351114845366882
hist_g_7,0.13441903298721014
channel_corr_rg,0.123950338954894
hist_b_7,0.12207574684442979
hist_r_7,0.11559476977358633
gray_p90,0.11511548507225358
hist_g_5,0.11161917062416025
