rank,feature,importance,importance_type
1,file_size_log,0.18615471467609804,tree_importance
2,is_jpeg,0.11264919072391463,tree_importance
3,orig_width,0.11005272342839698,tree_importance
4,is_png,0.09891609260712646,tree_importance
5,orig_height,0.08556770865470888,tree_importance
6,edge_std,0.0498977066339197,tree_importance
7,megapixels,0.03888834728635403,tree_importance
8,laplacian_var,0.033846356352620864,tree_importance
9,edge_mean,0.032114778579168494,tree_importance
10,info_key_count,0.02832042693934671,tree_importance
11,fft_band_0,0.02719914506811949,tree_importance
12,fft_band_1,0.02425875963436157,tree_importance
13,file_size_kb,0.02264205858881511,tree_importance
14,aspect_ratio,0.019613903821737735,tree_importance
15,fft_band_4,0.011952834058035601,tree_importance
16,high_freq_ratio,0.01194914371545962,tree_importance
17,fft_band_3,0.011923121312302233,tree_importance
18,fft_band_2,0.010856683115821096,tree_importance
19,mean_r,0.005584568294544735,tree_importance
20,hist_r_7,0.00472427701827715,tree_importance
21,hist_r_0,0.003974269642958013,tree_importance
22,hist_r_3,0.003590404249202319,tree_importance
23,brightness_mean,0.0035360167071350995,tree_importance
24,gray_mean,0.003493084892418464,tree_importance
25,hist_g_0,0.0034538864580687875,tree_importance
26,mean_g,0.0034301581699701595,tree_importance
27,hist_g_3,0.003276682353829693,tree_importance
28,hist_g_7,0.003065389953013057,tree_importance
29,hist_r_4,0.002707509177613364,tree_importance
30,gray_std,0.0024777073335658095,tree_importance
